wall_time,step,value
1775253075.2577221,40000,-2122.373779296875
1775253096.4769087,50000,-541.5810546875
1775253157.506488,80000,-710.4295043945312
1775253177.5533144,90000,-17092.8203125
1775253238.8111558,120000,-617.0061645507812
1775253259.5252202,130000,-561.1060180664062
1775253318.2674654,160000,-1271.4932861328125
1775253338.9152427,170000,-976.5863037109375
1775253397.8167393,200000,-546.621826171875
1775253418.4140618,210000,-737.2815551757812
1775253479.2303755,240000,-713.9188232421875
1775253499.9803731,250000,-715.1142578125
1775253557.0655925,280000,-527.9025268554688
1775253577.3207374,290000,-621.128173828125
1775253638.0063064,320000,-423.9862365722656
1775253658.7144966,330000,-590.0818481445312
1775253719.6902568,360000,-2455.56787109375
1775253739.2504058,370000,-210.38661193847656
1775253800.5637197,400000,-560.8408813476562
1775253819.1009612,410000,-466.6734313964844
1775253871.1849341,440000,-435.33062744140625
1775253892.50849,450000,-594.8272705078125
1775253954.491484,480000,-452.073486328125
1775253975.88831,490000,-313.3009948730469
1775254036.3581965,520000,-577.7265014648438
1775254057.4385242,530000,-662.7940063476562
1775254115.07726,560000,-500.533203125
1775254136.0330968,570000,-695.3274536132812
1775254195.5040727,600000,-495.1818542480469
1775254216.474683,610000,-589.3616333007812
1775254277.1898422,640000,-1924.7193603515625
1775254297.90349,650000,-378.753662109375
1775254354.9725952,680000,-1389.1903076171875
1775254375.5182922,690000,-412.82891845703125
1775254437.2047591,720000,-4030.024169921875
1775254457.7906256,730000,-1310.2572021484375
1775254517.9878976,760000,-1388.3529052734375
1775254539.0708346,770000,-478.4617004394531
1775254601.6153781,800000,-2045.7215576171875
1775254622.759302,810000,-598.4193725585938
1775254683.1215825,840000,-531.3800048828125
1775254704.1088715,850000,-523.7946166992188
1775254764.5480764,880000,-1835.1319580078125
1775254785.2344906,890000,-634.5634765625
1775254847.1660507,920000,-2426.56884765625
1775254867.872775,930000,-806.60009765625
1775254927.6112525,960000,-1469.1912841796875
1775254948.6511035,970000,-633.099609375
1775255010.0537372,1000000,-530.884521484375
1775255030.5768826,1010000,-445.6743469238281
1775255091.3574681,1040000,-512.9140014648438
1775255112.7695541,1050000,-9297.2578125
1775255174.4586613,1080000,-2597.4658203125
1775255192.8334744,1090000,-676.477783203125
1775255254.5109687,1120000,-652.9580688476562
1775255275.2245574,1130000,-319.6927185058594
1775255335.4117858,1160000,-1247.876953125
1775255355.861043,1170000,-418.4158020019531
1775255415.9648361,1200000,-387.2002868652344
1775255436.7487316,1210000,-1607.0301513671875
1775255494.613428,1240000,-371.2967529296875
1775255514.8021555,1250000,-518.2579956054688
1775255574.5358367,1280000,-557.7891845703125
1775255594.8167748,1290000,-659.704345703125
1775255735.111211,1350000,-1125.048828125
1775255814.984665,1390000,-785.423583984375
1775255898.1057246,1430000,-757.7064208984375
1775255979.6047895,1470000,-636.0778198242188
1775256059.3576617,1510000,-716.3968505859375
1775256141.5804167,1550000,-784.3668823242188
1775256224.4175947,1590000,-715.141357421875
1775256301.7925801,1630000,-726.3856201171875
1775256384.5416064,1670000,-671.6709594726562
1775256468.5973423,1710000,-720.1729736328125
1775256551.3721178,1750000,-634.9627685546875
1775256625.8788934,1780000,-437.189208984375
1775256709.9466126,1820000,-1750.94482421875
1775256792.6469896,1860000,-741.3062133789062
1775256875.5490627,1900000,-823.3484497070312
1775256956.2011876,1940000,-673.2940673828125
1775257038.199736,1980000,-702.9246215820312
