wall_time,step,value
1775244930.2298229,40000,-2138.6728515625
1775244950.6457734,50000,-1150.1209716796875
1775245010.064926,80000,-766.220947265625
1775245031.0268028,90000,-1412.0313720703125
1775245091.4612699,120000,-705.55908203125
1775245112.716804,130000,-959.5675659179688
1775245170.659967,160000,-571.1882934570312
1775245191.345917,170000,-13949.1494140625
1775245252.0011806,200000,-2403.219482421875
1775245272.5432267,210000,-1187.5538330078125
1775245331.0937805,240000,-1208.646484375
1775245351.6346638,250000,-585.1825561523438
1775245407.2616444,280000,-848.4483032226562
1775245428.0132468,290000,-746.32080078125
1775245487.405967,320000,-636.87353515625
1775245507.8697498,330000,-852.4312133789062
1775245568.1836576,360000,-562.640380859375
1775245588.3390303,370000,-556.212158203125
1775245648.8960783,400000,-752.907470703125
1775245667.0936341,410000,-962.288330078125
1775245726.435695,440000,-598.5473022460938
1775245746.5917652,450000,-519.2160034179688
1775245806.8986955,480000,-1464.962890625
1775245827.4635506,490000,-573.4791259765625
1775245887.438161,520000,-2180.8896484375
1775245908.138023,530000,-571.484375
1775245965.8003724,560000,-2512.56689453125
1775245986.3368154,570000,-3167.65771484375
1775246046.537043,600000,-767.0197143554688
1775246067.4675095,610000,-563.4205322265625
1775246129.665155,640000,-989.7901000976562
1775246150.581618,650000,-1625.2105712890625
1775246208.5172577,680000,-2052.891845703125
1775246229.4685445,690000,-1195.651611328125
1775246289.9668534,720000,-829.3721313476562
1775246310.532184,730000,-951.1322021484375
1775246370.927702,760000,-655.7877807617188
1775246391.4439523,770000,-5421.23974609375
1775246451.8777618,800000,-1401.9013671875
1775246472.4982255,810000,-488.5374450683594
1775246529.589435,840000,-1169.1328125
1775246549.5695045,850000,-1596.7158203125
1775246608.7451782,880000,-1713.2607421875
1775246628.4980316,890000,-1055.43310546875
1775246688.7447598,920000,-766.5119018554688
1775246709.1685145,930000,-774.5637817382812
1775246765.559936,960000,-940.421142578125
1775246786.2732177,970000,-1058.0723876953125
1775246844.9647064,1000000,-1287.994140625
1775246865.3018806,1010000,-662.639892578125
1775246927.447025,1040000,-670.4874877929688
1775246948.1722012,1050000,-294.0245361328125
1775247009.5472312,1080000,-623.6771850585938
1775247027.0111163,1090000,-306.88739013671875
1775247086.5151334,1120000,-717.1220092773438
1775247107.0168004,1130000,-760.9624633789062
1775247166.392969,1160000,-1060.720703125
1775247186.8227146,1170000,-744.5779418945312
1775247247.3686254,1200000,-1519.7994384765625
1775247267.881735,1210000,-507.5368347167969
1775247324.709099,1240000,-856.8096923828125
1775247345.3332226,1250000,-741.991455078125
1775247405.4324946,1280000,-2970.7666015625
1775247425.6151936,1290000,-712.0289306640625
1775247483.9426382,1320000,-2490.94140625
1775247503.6828504,1330000,-1127.171142578125
1775247560.6196167,1360000,-1489.46875
1775247580.795426,1370000,-2302.298828125
1775247637.0323036,1400000,-968.6461791992188
1775247673.948517,1410000,-530.7008056640625
1775247760.8624432,1450000,-2014.206298828125
1775247848.1491778,1490000,-1447.10595703125
1775247932.557808,1530000,-2303.076416015625
1775248015.9549146,1570000,-1215.1455078125
1775248097.7901647,1610000,-1211.6064453125
1775248177.7369776,1650000,-1490.57666015625
1775248261.590006,1690000,-3212.169921875
1775248346.8148892,1730000,-758.6843872070312
1775248428.5907266,1770000,-931.9638671875
1775248511.3319438,1810000,-527.4965209960938
1775248595.4049704,1850000,-692.6580810546875
1775248679.1832294,1890000,-646.7927856445312
1775248759.4781797,1930000,-1214.132568359375
1775248843.1233149,1970000,-1600.3626708984375
